Username,Creator,Weight
republican,whitehouse,3
republican,democrat,14
republican,ufc,1
republican,republicansoftiktok,1
republican,leftisttiktok,3
republican,wisconsin,1
republican,politics,17
republican,democratsoftiktok,2
republican,politicaltiktok,10
republican,elonmusk,1
republican,republicans,5
republican,fridaynight,2
republican,justice,1
republican,qasimforcongress,1
republican,policereform,1
republican,blm,1
republican,gop,8
republican,getoutthevote,1
republican,votebeto,1
republican,islamophobia,1
republican,texas,2
republican,racism,1
republican,healthtok,2
republican,parentsoftiktok,2
republican,recall,2
republican,goodnews,2
republican,newyorkcity,2
republican,ontheroad,2
republican,space,2
republican,russia,5
republican,rescue,2
republican,military,2
republican,rnlshow,1
republican,revolution,1
republican,communism,1
republican,socialism,1
republican,bobavakian,1
republican,chingalamigra,1
republican,abortionrights,2
republican,identitypolitics,1
republican,ww3,1
republican,revolutionary,1
republican,yahoonews,2
republican,tiktokpolitics,2
republican,republican,14
republican,worldnews,4
republican,election2022,2
republican,midterms2022,2
republican,election2024,2
republican,greenscreen,1
republican,socialsecurity,1
republican,callyourreps,1
republican,phonebanking,1
republican,drugprices,1
republican,medicare,1
republican,america,1
republican,left,2
republican,right,2
republican,unity,1
republican,donaldtrump,14
republican,chooselove,1
republican,podcast,1
republican,interview,1
republican,dailywire,1
republican,gunsboatsatvs,1
republican,tonybologna,1
republican,tonybologna06,1
republican,congress,7
republican,gopfascist,5
republican,cometogether,5
republican,humanrights,5
republican,june1,5
republican,lgbtqiarightsarehumanrights,5
republican,powerfulwomen,5
republican,laurenboebertissodumb,5
